,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.147725443,-1.595022772,0.909102818,-0.618862761,0.483243774,1.632485824,-1.173410858,0.745916555,0.407018926,-0.236706372,-0.061239144,1.281098702,-0.65976364,0.629623939,1.526443205,0.342144901,-2.023284026,-1.066933674,1.228315494,-1.3289546,0.656167389,-0.829564495,1.412166032,-0.444419745,0.317354556,-0.982180602,0.812043316,-0.622991611,0.443370754,0.569846637,0.982045883,0.662152842,0.883256761,0.960127035,0.984365657,-0.057645223,-0.340191574,-0.781390303,0.132696293,-1.232846592,-0.042871215,0.683801123,0.653250051,1.942314094,0.669312312,1.122079129,-0.361966166,1.488530927,2.262534374,1.194234878,-0.100619906,-0.593918997,-0.063170316,-1.25704102,-1.132364856,-0.836658545,-0.907914228,0.018409392,-0.861389985,-0.567811531,0.489999736,-0.737465174,-1.74983756,-0.496592042,0.162509868,0.010198669,0.355919243,-1.591558771,-1.626525944,-0.788776681,0.26450616,0.216411404,-1.509081111,0.171664679,1.104544468,0.512722712,0.695173144,-0.704148192,-0.826999272,0.052962224,-2.238374838,1.004200583,0.249572246,1.040491055,0.55393029,-0.042291901,1.343987071,0.959852998,-0.060431712,-1.652179771,-0.760244504,-0.556589965,-0.297220678,1.85702974,-0.561647151,-1.398241422,0.009404539,-1.155928782,0.595759991,-0.110219427
2,0.862977579,-0.995751877,0.105795518,0.405565857,1.178117529,1.285402207,-2.752856222,0.479204302,0.531836646,0.226479999,0.701447976,0.019759997,-0.544144191,1.37083762,-0.017706695,2.445067741,-2.978706992,-1.667428551,0.958164302,-0.309799808,1.390213727,-0.335562215,2.334057622,-0.205543566,-0.400032522,0.42845564,1.357123961,-0.210896281,0.522613778,-1.479601469,1.377688652,0.877320042,1.209130465,1.388492853,0.29103121,-1.068003906,1.286951013,-1.606068017,1.235964135,-0.815564932,1.908876778,-0.465418378,2.984467492,0.280158302,0.088722432,0.005795192,-0.413399104,4.008068877,2.880116656,-0.025269496,-0.668620663,-0.918291073,0.589818237,-0.17784276,-1.282088794,-2.73808701,-1.010672848,-0.314486982,-2.18094481,-1.791316611,0.926950395,-1.134881,-1.849541888,-0.141975629,0.796131573,-1.285935666,-0.84335925,-2.731954456,-2.790386455,0.953726251,0.283677875,-0.762978635,-2.575902298,-0.561060979,1.205043509,1.054185158,1.486929592,-0.533434173,-1.719649121,0.021289262,-2.136211787,-0.463745268,0.878763137,0.338448266,0.246682421,1.125069272,0.399829327,2.253465703,-2.383209232,-2.46822403,-0.567334745,-0.676888408,-0.461198683,1.546697005,-0.688449171,-0.20181683,0.014907664,-0.779663017,2.599229971,0.43928187
3,1.223362124,-0.52600061,-0.086052483,-0.225989526,0.771369652,3.109364747,-2.506258803,0.117938401,-1.252568488,0.261926928,0.439986487,0.607205149,0.090370319,0.596775863,-0.265679026,2.074894264,-5.267054404,-2.25369626,1.043529057,-1.141420599,2.176678975,-0.930780612,1.803649819,-0.434562978,0.035247632,0.196554129,0.766493359,-0.885336515,1.400454157,-1.256597508,2.49413911,0.505059115,2.124565237,2.029509557,0.665214737,-1.793444266,2.839991098,-0.583339033,-0.287676655,-1.148503624,2.538773664,0.060889581,3.43823536,-0.456113221,1.121257327,-1.153181257,-1.241245299,5.571560034,3.341952532,-0.598832603,0.292259724,-0.814375118,1.029882732,-1.509917803,0.047961628,-1.042154337,-0.248754172,-0.200567714,-3.66914803,-2.210666641,1.583786631,-0.018671961,-2.880842891,-1.108431005,1.09912827,-0.19955452,0.517939982,-1.236373867,-3.580250787,0.171281828,2.472521218,-0.660451769,-2.271706896,-1.882393037,1.252287276,1.189979182,0.877051062,-0.836618869,-2.137325493,-0.384274626,-1.687269214,0.144669265,0.05694197,1.06121484,0.777238552,1.462880348,1.003501883,3.300171164,-2.065044512,-3.963887058,-2.491775025,-1.825021028,1.188077896,2.33897811,-2.764365342,1.71591332,0.102690099,-0.26679755,3.583576381,1.985707155
4,1.168379789,-0.953361155,-0.728837025,-0.607968228,0.841493537,3.232456786,-1.266362602,-0.965544769,-0.549073059,-0.083439089,1.584721791,2.340396863,-1.145193093,0.624388228,0.290156865,3.0191344,-5.393521565,-1.707536744,1.967000307,-2.056180405,0.794884367,-0.8296553,3.834063024,0.372419203,0.507335125,-0.951231649,0.047446476,-1.229852895,2.588879058,-1.085879639,2.12514826,4.135503556,1.101833734,2.028555579,-0.208701329,-0.895097385,2.651612494,-0.085156504,-0.399061585,-1.784570728,2.816344123,-0.958255553,1.717385802,1.143867957,0.425503589,-1.376549463,-0.77070058,5.528612135,2.524455711,-1.143314734,0.186991152,-1.059856542,0.406955055,-2.651133805,-0.970314275,-0.582372552,-1.425166241,-0.906355333,-4.229611198,-0.453765968,2.158473489,2.084368872,-4.307973602,-2.058487398,2.135859185,0.408850267,0.913685587,-1.942537736,-2.919831962,1.719104864,1.782124888,-0.00920817,-1.886501449,-0.732957099,1.110826717,0.324019161,0.321245979,0.283086332,-1.794701215,1.091150889,-1.873351743,1.130827704,0.35886695,2.081632242,1.473077831,1.939906577,0.789471295,3.267178209,-2.465424012,-4.412085862,-3.067297512,-2.858614646,0.237325112,2.337700725,-3.986035435,0.908388726,0.259216901,1.297080021,5.310220649,3.528547585
5,0.441863105,-0.343369485,-2.268553479,0.556210742,0.938896833,3.606129702,-0.521777215,-0.352338892,0.170364356,1.364352503,2.587082032,1.155336707,-1.790814691,1.691970641,0.239521746,2.036146733,-4.597606844,-3.134160065,2.991238849,-2.020543113,1.614467062,-1.459220869,3.754523775,-0.380187103,1.824400481,-0.452070557,2.29928994,0.14574325,1.411443992,-1.814573924,1.455746535,3.264221813,0.559606231,1.085214988,-0.373600341,-0.477430227,2.634342338,-0.237219142,-0.344308997,-1.996605722,3.353858935,0.482493437,0.051593899,1.943896633,0.955474825,-0.393226342,-2.210889326,6.573833591,3.832317264,-1.280338324,-0.153970326,-0.918242765,2.134373375,-3.134848654,0.976447053,1.008897201,-2.947163193,-2.331085726,-6.032318011,-0.995393902,4.633206578,4.028028363,-2.8642911,-1.486276305,1.930624907,0.796105876,-0.798975175,-0.803305926,-1.734563606,1.981102149,1.827979073,-2.108419142,-3.502249015,-0.36707051,1.427575272,-0.913205014,0.535003408,-0.774010941,-1.829158331,1.573023436,-2.506897721,0.753986629,0.995594825,2.086656966,1.716228907,1.923323356,1.719678683,1.809585371,-4.266661636,-3.371955228,-2.943124508,-4.259372619,-0.348455247,3.119125307,-5.2119159,0.973363255,0.587766217,1.149266999,4.828826773,3.319093813
6,0.537122308,-1.695597827,-2.325520434,0.231744319,0.496636063,4.923972004,-1.236394842,-0.598631949,-0.419966484,3.818822012,2.624630693,0.3085526,-1.048888354,-0.65275807,0.204373619,3.787113737,-5.848951122,-3.305585878,1.430381529,-1.974979305,1.782788902,-1.269186363,3.620414788,-0.758522451,2.875354517,-0.98220766,2.483758811,-1.309261349,1.350576985,-2.927425914,0.852489436,2.696835833,1.531452011,1.592395373,0.947351048,0.134959007,2.565032546,1.20151513,-0.664237297,-4.593154838,3.915660885,-0.947631479,-1.353949392,1.852763103,1.942977227,0.159686507,-1.076261565,7.485952928,4.521526649,-2.028506577,-1.081883845,0.387599842,1.702818964,-3.143343426,-0.815275661,-0.307213224,-5.19011661,-1.12315838,-6.810895146,-3.12964607,5.124897743,3.633746753,-2.628376334,-1.111406856,1.606594487,0.824894985,-1.769126233,-0.842639145,-3.747512287,0.991435092,2.272952988,-2.997405343,-3.316561219,0.742339565,2.650071211,-1.761112372,0.268371083,-1.890543168,-1.903543397,0.881016051,-4.098420974,-0.54050231,0.21092837,4.908205022,2.314137566,0.799306081,3.168234373,2.632264542,-3.978142048,-2.982983648,-2.418774832,-5.169302141,-1.039568459,1.956902459,-6.037439106,-0.181165091,0.70821212,0.10797542,5.592220936,3.267857655
7,1.311916729,-0.523985377,-2.352421501,-1.493543143,0.819328979,4.537638501,-1.419379574,-1.071310687,-1.917511074,3.869022281,2.188973105,-0.210371686,-0.597021599,1.596163962,1.470363347,4.049877832,-5.963437777,-2.615630301,1.308481075,-3.37022929,1.068019811,-0.533917654,4.1386328,0.20315476,1.994434077,-1.204000317,3.624775313,-2.125639925,1.680852987,-3.134149172,0.905370104,1.926033344,1.135414219,0.087668166,-0.607014873,-0.210793853,2.134987189,0.041354025,-2.287952014,-6.491591199,3.762124325,-0.425997823,-2.256722008,3.375893066,-1.227226912,-0.587864345,-0.722069738,6.918687683,4.270248613,-1.953395876,-2.10346651,0.789034373,3.969369441,-4.264131844,-1.054630048,-0.58422114,-5.344266936,-2.486794511,-5.458668023,-3.655745388,5.730332904,3.421095945,-2.954788558,-1.586734145,0.439158936,-0.182405246,-1.555650834,-1.374132082,-3.977195821,-0.223042754,2.095724951,-3.005980416,-3.91891345,0.433890225,3.325476147,-3.638090319,1.985362913,-0.898377702,-1.366511648,0.566258299,-4.661892505,-1.175568833,-0.502974053,6.801689116,4.370603986,0.126348095,2.913947878,3.843579412,-4.074638008,-3.70868069,-2.185227394,-6.421254645,-2.632640406,2.181207016,-6.257918282,0.309037848,1.850348418,0.444570719,5.506719187,4.516736469
8,-0.75190793,-1.529245444,-2.511597464,-1.32515996,-0.936950658,4.940017789,-1.161624474,-2.447507569,-1.837728166,2.982019399,1.355810442,0.015340546,-2.343582261,1.543074831,-0.340144071,3.213510209,-4.216096091,-2.837900083,0.686866159,-0.774663441,1.071462519,-1.279078577,4.250281518,0.148444238,1.208030338,-0.592206975,3.586228146,-1.499718944,0.86826596,-2.894314793,-0.086311892,0.746255975,-0.254863336,-0.399590144,-1.184481496,-0.593891412,0.884858123,1.037121352,-3.966304092,-6.939056428,4.607565416,-1.892442533,-2.960965652,2.651361349,-1.304664938,-0.315379995,-0.078415152,7.653705736,5.191125272,0.165870945,-1.137476174,1.449651864,4.416011533,-4.998029885,-2.595711774,-0.38734596,-7.162514929,-2.883694383,-5.515367746,-1.988404768,5.010706684,2.516038296,-2.687120852,-1.755812762,3.117829258,-0.331157035,-2.58754381,-1.591231369,-3.54166881,-0.500635931,2.438246241,-4.501952465,-4.019272853,1.608733547,3.373658314,-4.076440603,3.143617427,-0.454607861,-1.785862877,1.241379505,-2.701969848,-0.162786758,0.763450611,5.517737154,4.995246282,-0.158780773,3.080353245,3.610051427,-3.52688307,-4.792822047,-2.675020522,-5.35378947,-1.581160263,0.819723367,-6.379429789,0.225815023,3.170785763,1.142298016,5.396100257,3.39982503
9,-0.679866266,0.359255641,-4.443546136,0.523199003,-1.195177541,6.646864185,-1.1822557,-3.203553779,-0.970154087,4.110276072,1.052967003,1.783488604,-2.954628703,1.865566203,0.534379506,5.605307144,-3.92982091,-2.352753043,0.710401248,0.205744638,1.059638906,-1.810491352,4.793487532,0.556926474,1.099600166,-0.981374164,4.171518754,-1.356487289,-0.854594466,-2.711647685,0.893619341,0.203983632,-0.269047296,-0.82242278,-2.453499973,0.073272773,1.467626845,-0.353901208,-5.055185241,-7.699467792,5.662354839,-2.383424092,-3.352052654,3.461178682,0.160707793,-0.510834524,-0.2185888,7.983826515,6.968976233,0.288673163,-0.751876659,1.105457194,4.392071187,-4.897186768,-1.944121937,0.695277887,-4.483051919,-3.855165795,-6.268391095,-1.451267927,5.914631786,0.190849237,-3.271221251,-3.676546247,4.048574405,0.242370527,-2.734925249,-2.224757925,-3.519604057,-0.581363937,4.011234664,-2.549920194,-4.882464296,2.164313034,0.734553467,-3.773346983,3.453295055,-1.293097795,-3.09114945,3.018029428,-2.785712703,-1.665441346,-0.604469003,5.176464152,4.217088596,-1.216484412,3.447453318,3.529320734,-4.262508848,-6.020674955,-4.328666965,-4.069269955,-3.147970142,-0.511264235,-6.734201974,0.551463102,2.434434334,-0.3159463,5.548499021,4.887730102
