,0,1,2,3
11,-0.259006462,0.340749126,0.328479341,-1.408017181
12,-0.352558181,-0.17044926,0.1108782,-1.120390305
13,1.421724106,0.82875187,1.887549457,-1.998712268
14,1.419671292,2.158503724,1.461968062,-1.169284756
15,3.180684355,2.162295311,2.67298239,-0.858250238
16,1.951781089,2.107466588,2.802526574,0.078828106
17,2.492440359,1.560079599,1.793238306,0.018944923
18,0.674133705,0.833057695,1.528682174,0.627306304
19,1.418800383,1.640977556,-0.852801234,1.439996194
20,0.664461113,1.55704231,-2.649168033,-0.753244848
21,2.060212418,1.404994084,-2.730374972,-2.324069845
22,0.992593005,0.983232434,-2.395221312,-2.398128185
23,2.908500035,0.627360965,-2.788443946,-1.883160173
24,2.870421874,1.519786383,-4.195111951,-2.17928755
25,3.812908336,1.13359308,-3.748042664,-2.798608423
26,4.155203283,1.006940301,-5.874132315,-4.272254276
27,4.313299815,-1.5896153,-6.800745853,-5.031415221
28,6.027304337,-2.336474893,-7.073528316,-4.433853756
29,6.864857743,-2.495987525,-8.361902167,-5.83308591
30,6.425404023,-1.862357025,-7.715559271,-5.826063438
